fullName,fileID,guid,assembly,path
AddressableAssets.DocExampleCode.LoadWithIEnumerator,11500000,e840cb3f9e1c79f418991c22a9bbdd28,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadWithIEnumerator.cs
AddressableAssets.DocExampleCode.LoadWithLabels,11500000,1e2ff1980cce8ef4e88f793c1db900f4,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadWithLabels.cs
AddressableAssets.DocExampleCode.LoadWithLocation,11500000,1cdcbf100409f3d4aa907f8b5caf6b72,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadLocation.cs
AddressableAssets.DocExampleCode.LoadWithReference,11500000,dd340326674dc4c418bd6cf12845b4c7,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadWithReference.cs
AddressableAssets.DocExampleCode.LoadWithTask,11500000,fde27ed4473003b4ba91281c9228e9f8,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/LoadWithTask.cs
AddressableAssets.DocExampleCode.MiscellaneousTopics,11500000,81e07f4bd9fd35f42828b48ea81bbd13,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/MiscellaneousTopics.cs
AddressableAssets.DocExampleCode.MyRule,11500000,c13c4d40f03b84e489576570ec2daf5e,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/MyRule.cs
AddressableAssets.DocExampleCode.OperationHandleTypes,11500000,4a54c5871bef465498da44ad7451313d,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/OperationHandleTypes.cs
AddressableAssets.DocExampleCode.Preload,11500000,75340b8683e5f084ab85df09444ac24e,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/Preload.cs
AddressableAssets.DocExampleCode.PreloadWithProgress,11500000,17371403cb6db7b4489e8fcd43b02b56,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/PreloadWithProgress.cs
AddressableAssets.DocExampleCode.PrivateWebRequestOverride,11500000,b58235bf371a87a429cb8db2eec7fad6,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingWebRequestOverride.cs
AddressableAssets.DocExampleCode.TestStub,11500000,c4f4788f869d62d4ea301e8340a9b12b,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/TestStub.cs
AddressableAssets.DocExampleCode.UsingAddResourceLocator,11500000,08d6d38651abd624b9c945a1ed5d80bb,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingAddResourceLocator.cs
AddressableAssets.DocExampleCode.UsingAssetRefSpriteValidateAsset,11500000,6f06e1bd09d07e34fb93921918732e98,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingAssetRefSpriteValidateAsset.cs
AddressableAssets.DocExampleCode.UsingBuildPath,11500000,7ba9fc75a0048b0469b01c6cf75f65e4,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingBuildPath.cs
AddressableAssets.DocExampleCode.UsingCheckForCatalogUpdates,11500000,3fae9482157db504bbc96bab93cc2e52,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingCheckForCatalogUpdates.cs
AddressableAssets.DocExampleCode.UsingCleanBundleCache,11500000,255df104f26ec08439fcee2d0df9ae0b,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingCleanBundleCache.cs
AddressableAssets.DocExampleCode.UsingClearDependencyCacheAsync,11500000,2e94e1c7d8bd4b842a1d59b7eefc8a34,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingClearDependencyCacheAsync.cs
AddressableAssets.DocExampleCode.UsingClearResourceLocators,11500000,1a93de9886d3e5046be743fac772d5c3,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingClearResourceLocators.cs
AddressableAssets.DocExampleCode.UsingCreateCatalogLocationWithHashDependencies,11500000,5127a10aa9aa1f147b436d8241d02ce0,Unity.Addressables.DocExampleCode.Editor.Tests,Packages/com.unity.addressables/Tests/Editor/DocExampleCode/ScriptReference/UsingCreateCatalogLocationWithHashDependencies.cs
